JD,magDelta,error
2457832.91797,-0.29,0.05
2457832.92279,-0.32,0.06
2457832.92758,-0.30,0.07
2457832.93238,-0.29,0.07
2457832.93718,-0.29,0.08
2457832.94198,-0.28,0.08
2457832.94677,-0.28,0.03
2457832.95159,-0.29,0.04
2457832.95637,-0.32,0.05
2457832.96118,-0.30,0.06
2457832.96596,-0.32,0.07
2457832.97078,-0.32,0.07
2457832.97557,-0.34,0.08
2457832.98037,-0.30,0.08
2457832.98516,-0.18,0.03
2457832.98997,-0.18,0.04
2457832.99476,-0.21,0.04
2457842.66412,-0.05,0.04
2457842.66890,-0.02,0.03
2457842.67372,0.04,0.03
2457842.67851,0.10,0.04
2457842.68331,0.15,0.04
2457842.68810,0.21,0.04
2457842.69288,0.26,0.04
2457842.69767,0.30,0.04
2457842.70247,0.32,0.04
2457842.70727,0.38,0.04
2457842.71206,0.44,0.04
2457842.71684,0.40,0.04
2457842.72163,0.38,0.04
2457842.72642,0.37,0.03
2457842.73123,0.36,0.04
2457842.73602,0.29,0.03
2457842.74080,0.23,0.03
2457842.74559,0.19,0.03
2457842.75038,0.10,0.03
2457842.75519,0.05,0.03
2457842.75998,-0.01,0.02
2457842.76476,-0.05,0.02
2457842.76955,-0.07,0.02
2457842.77433,-0.10,0.02
2457842.77914,-0.13,0.02
2457842.78394,-0.19,0.02
2457842.78872,-0.20,0.02
2457842.79351,-0.23,0.02
2457842.79829,-0.24,0.02
2457842.80310,-0.26,0.02
2457842.80789,-0.28,0.02
2457842.81267,-0.32,0.02
2457842.81747,-0.31,0.02
2457842.82225,-0.31,0.02
2457842.82706,-0.30,0.02
2457842.83185,-0.29,0.02
2457842.83663,-0.30,0.02
2457842.84142,-0.31,0.02
2457842.84620,-0.32,0.02
2457842.85102,-0.31,0.02
2457842.85581,-0.31,0.02
2457842.86059,-0.31,0.02
2457842.86538,-0.29,0.02
2457842.87016,-0.30,0.02
2457842.87498,-0.26,0.02
2457842.87977,-0.22,0.02
2457842.88455,-0.20,0.02
2457842.88934,-0.18,0.02
2457842.89412,-0.14,0.02
2457842.89894,-0.11,0.02
2457842.90373,-0.09,0.02
2457842.90851,-0.07,0.02
2457842.91330,0.00,0.02
2457842.91808,0.03,0.03
2457842.92289,0.07,0.03
2457842.92767,0.15,0.03
2457842.93247,0.18,0.03
2457842.93726,0.22,0.03
2457842.94204,0.26,0.04
2457842.94685,0.32,0.04
2457842.95163,0.32,0.03
2457842.95642,0.33,0.04
2457842.96122,0.33,0.04
2457842.96600,0.39,0.04
2457842.97081,0.36,0.05
2457842.97559,0.37,0.05
2457842.98041,0.32,0.05
